query,date,rank
tested,2018-07-21,13157.5
tested,2018-07-22,12394.5
tested,2018-07-23,9402.5
tested,2018-07-24,5336
tested,2018-07-25,4514
tested,2018-07-26,5761
tested,2018-07-27,3249
tested,2018-07-28,4656.5
tested,2018-07-29,8987.5
tested,2018-07-30,7764.5
tested,2018-07-31,7832
tested,2018-08-01,9862.5
tested,2018-08-02,9093.5
tested,2018-08-03,10687.5
tested,2018-08-04,4514
tested,2018-08-05,12359
tested,2018-08-06,7494
tested,2018-08-07,3709
tested,2018-08-08,7355.5
tested,2018-08-09,5599
tested,2018-08-10,8398
tested,2018-08-11,12684
tested,2018-08-12,4579
tested,2018-08-13,12174
tested,2018-08-14,11375
tested,2018-08-15,9395.5
tested,2018-08-16,9620.5
tested,2018-08-17,12330
tested,2018-08-18,12185.5
tested,2018-08-19,11382.5
tested,2018-08-20,11441.5
tested,2018-08-21,10992
tested,2018-08-22,9153.5
tested,2018-08-23,8452
tested,2018-08-24,9914.5
tested,2018-08-25,7976.5
tested,2018-08-26,7618
tested,2018-08-27,8113.5
tested,2018-08-28,9398.5
tested,2018-08-29,1837
tested,2018-08-30,2349
tested,2018-08-31,4990
tested,2018-09-01,9589.5
tested,2018-09-02,10274
tested,2018-09-03,11537.5
tested,2018-09-04,10568.5
tested,2018-09-05,8913
tested,2018-09-06,8788
tested,2018-09-07,4389
tested,2018-09-08,7800
tested,2018-09-09,7242.5
tested,2018-09-10,7182.5
tested,2018-09-11,1948
tested,2018-09-12,6175
tested,2018-09-13,10197.5
tested,2018-09-14,10506
tested,2018-09-15,7538.5
tested,2018-09-16,6690.5
tested,2018-09-17,5901
tested,2018-09-18,9647
tested,2018-09-19,10071.5
tested,2018-09-20,6494.5
tested,2018-09-21,9903.5
tested,2018-09-22,11369
tested,2018-09-23,12287.5
tested,2018-09-24,11570
tested,2018-09-25,9665.5
tested,2018-09-26,8541.5
tested,2018-09-27,9677.5
tested,2018-09-28,9748
tested,2018-09-29,9674
tested,2018-09-30,12692.5
tested,2018-10-01,7590
tested,2018-10-02,6274.5
tested,2018-10-03,6899.5
tested,2018-10-04,10092
tested,2018-10-05,10571.5
tested,2018-10-06,11442
tested,2018-10-07,13242.5
tested,2018-10-08,6577.5
tested,2018-10-09,9621.5
tested,2018-10-10,10701
tested,2018-10-11,9560
tested,2018-10-12,9884
tested,2018-10-13,7466
tested,2018-10-14,11371
tested,2018-10-15,10235
tested,2018-10-16,11054
tested,2018-10-17,10731
tested,2018-10-18,11408
tested,2018-10-19,12551.5
tested,2018-10-20,12018
tested,2018-10-21,11588.5
tested,2018-10-22,9185.5
tested,2018-10-23,9719
tested,2018-10-24,12082
tested,2018-10-25,8807
tested,2018-10-26,9416
tested,2018-10-27,12052.5
tested,2018-10-28,11348
tested,2018-10-29,11779
tested,2018-10-30,9407.5
tested,2018-10-31,13455
tested,2018-11-01,12009
tested,2018-11-02,4446.5
tested,2018-11-03,3585
tested,2018-11-04,12809
tested,2018-11-05,10594.5
tested,2018-11-06,12376.5
tested,2018-11-07,13529.5
tested,2018-11-08,13586
tested,2018-11-09,11073
tested,2018-11-10,13146.5
tested,2018-11-11,10935.5
tested,2018-11-12,11291
tested,2018-11-13,11279.5
tested,2018-11-14,7837.5
tested,2018-11-15,6888.5
tested,2018-11-16,9985
tested,2018-11-17,11018.5
tested,2018-11-18,2208
tested,2018-11-19,10830
tested,2018-11-20,12087
tested,2018-11-21,8650.5
tested,2018-11-22,994
tested,2018-11-23,616
tested,2018-11-24,882
tested,2018-11-25,359
tested,2018-11-26,1091
tested,2018-11-27,2219
tested,2018-11-28,3586
tested,2018-11-29,2333
tested,2018-11-30,1065
tested,2018-12-01,2774
tested,2018-12-02,8659.5
tested,2018-12-03,3589
tested,2018-12-04,8174
tested,2018-12-05,1218
tested,2018-12-06,920
tested,2018-12-07,591
tested,2018-12-08,1003
tested,2018-12-09,1065
tested,2018-12-10,922
tested,2018-12-11,9437.5
tested,2018-12-12,9557.5
tested,2018-12-13,1906
tested,2018-12-14,9475
tested,2018-12-15,441
tested,2018-12-16,366
tested,2018-12-17,839
tested,2018-12-18,3871
tested,2018-12-19,10856
tested,2018-12-20,5481.5
tested,2018-12-21,3355
tested,2018-12-22,5894
tested,2018-12-23,4737.5
tested,2018-12-24,3918.5
tested,2018-12-25,11528.5
tested,2018-12-26,9614.5
tested,2018-12-27,7201
tested,2018-12-28,1645.5
tested,2018-12-29,1354
tested,2018-12-30,1345
tested,2018-12-31,1223
tested,2019-01-01,1931.5
tested,2019-01-02,9011.5
tested,2019-01-03,8459.5
tested,2019-01-04,9492
tested,2019-01-05,10846.5
tested,2019-01-06,2697.5
tested,2019-01-07,1821
tested,2019-01-08,11228.5
tested,2019-01-09,9310
tested,2019-01-10,3148
tested,2019-01-11,1319
tested,2019-01-12,11760.5
tested,2019-01-13,11910.5
tested,2019-01-14,8172.5
tested,2019-01-15,1593
tested,2019-01-16,2713.5
tested,2019-01-17,9008.5
tested,2019-01-18,11002
tested,2019-01-19,13115.5
tested,2019-01-20,11365.5
tested,2019-01-21,8614
tested,2019-01-22,2519
tested,2019-01-23,9057.5
tested,2019-01-24,2403
tested,2019-01-25,5446.5
tested,2019-01-26,9665
tested,2019-01-27,5933.5
tested,2019-01-28,3863
tested,2019-01-29,7851
tested,2019-01-30,8699
tested,2019-01-31,5331.5
tested,2019-02-01,12306.5
tested,2019-02-02,11326.5
tested,2019-02-03,11763.5
tested,2019-02-04,6311
tested,2019-02-05,9292.5
tested,2019-02-06,9623.5
tested,2019-02-07,9448
tested,2019-02-08,10425.5
tested,2019-02-09,6782.5
tested,2019-02-10,10847
tested,2019-02-11,11505
tested,2019-02-12,9340.5
tested,2019-02-13,6849.5
tested,2019-02-14,9876.5
tested,2019-02-15,11588
tested,2019-02-16,10020.5
tested,2019-02-17,13026.5
tested,2019-02-18,10824.5
tested,2019-02-19,8664
tested,2019-02-20,7067.5
tested,2019-02-21,8607
tested,2019-02-22,9560.5
tested,2019-02-23,4145
tested,2019-02-24,7804
tested,2019-02-25,7498.5
tested,2019-02-26,9063.5
tested,2019-02-27,9290.5
tested,2019-02-28,8410.5
tested,2019-03-01,11610
tested,2019-03-02,10037.5
tested,2019-03-03,8476
tested,2019-03-04,9573.5
tested,2019-03-05,8140.5
tested,2019-03-06,9226
tested,2019-03-07,9792
tested,2019-03-08,5386.5
tested,2019-03-09,9135
tested,2019-03-10,11389.5
tested,2019-03-11,10790
tested,2019-03-12,8697.5
tested,2019-03-13,8552.5
tested,2019-03-14,9098.5
tested,2019-03-15,12536
tested,2019-03-16,12016.5
tested,2019-03-17,10652.5
tested,2019-03-18,8554.5
tested,2019-03-19,4305
tested,2019-03-20,7124
tested,2019-03-21,9709.5
tested,2019-03-22,10446.5
tested,2019-03-23,13069
tested,2019-03-24,8975
tested,2019-03-25,3429
tested,2019-03-26,4882.5
tested,2019-03-27,3242
tested,2019-03-28,8054.5
tested,2019-03-29,12072
tested,2019-03-30,13083.5
tested,2019-03-31,9973.5
tested,2019-04-01,9410.5
tested,2019-04-02,9486.5
tested,2019-04-03,9705.5
tested,2019-04-04,9717.5
tested,2019-04-05,8943.5
tested,2019-04-06,6631
tested,2019-04-07,9663
tested,2019-04-08,8387.5
tested,2019-04-09,9263
tested,2019-04-10,11217.5
tested,2019-04-11,8891.5
tested,2019-04-12,10483.5
tested,2019-04-13,13054.5
tested,2019-04-14,13953
tested,2019-04-15,9451.5
tested,2019-04-16,8812.5
tested,2019-04-17,9945.5
tested,2019-04-18,10750.5
tested,2019-04-19,9769
tested,2019-04-20,12752.5
tested,2019-04-21,11408.5
tested,2019-04-22,14469
tested,2019-04-23,10362
tested,2019-04-24,11048
tested,2019-04-25,11336.5
tested,2019-04-26,11638
tested,2019-04-27,10384
tested,2019-04-28,11490
tested,2019-04-29,10784.5
tested,2019-04-30,10910
tested,2019-05-01,9348
tested,2019-05-02,7319.5
tested,2019-05-03,9035
tested,2019-05-04,9325
tested,2019-05-05,10588
tested,2019-05-06,11460.5
tested,2019-05-07,10111.5
tested,2019-05-08,6874.5
tested,2019-05-09,6735.5
tested,2019-05-10,9773
tested,2019-05-11,10885.5
tested,2019-05-12,8283.5
tested,2019-05-13,10025.5
tested,2019-05-14,11635
tested,2019-05-15,9261.5
tested,2019-05-16,5860.5
tested,2019-05-17,6382.5
tested,2019-05-18,9092.5
tested,2019-05-19,3696
tested,2019-05-20,12872
tested,2019-05-21,11200
tested,2019-05-22,9380
tested,2019-05-23,9784.5
tested,2019-05-24,9412
tested,2019-05-25,12671.5
tested,2019-05-26,10136.5
tested,2019-05-27,8890
tested,2019-05-28,9255.5
tested,2019-05-29,11129.5
tested,2019-05-30,12800.5
tested,2019-05-31,11397.5
tested,2019-06-01,12402.5
tested,2019-06-02,11262.5
tested,2019-06-03,12787.5
tested,2019-06-04,12175
tested,2019-06-05,10520
tested,2019-06-06,11392
tested,2019-06-07,11612.5
tested,2019-06-08,9966.5
tested,2019-06-09,10187
tested,2019-06-10,7873.5
tested,2019-06-11,7673
tested,2019-06-12,5401
tested,2019-06-13,6607
tested,2019-06-14,7416
tested,2019-06-15,7729
tested,2019-06-16,10889.5
tested,2019-06-17,6090.5
tested,2019-06-18,10676
tested,2019-06-19,10374
tested,2019-06-20,9919
tested,2019-06-21,12442.5
tested,2019-06-22,13077.5
tested,2019-06-23,14036.5
tested,2019-06-24,10458
tested,2019-06-25,9893.5
tested,2019-06-26,9310.5
tested,2019-06-27,8068.5
tested,2019-06-28,10848.5
tested,2019-06-29,11626.5
tested,2019-06-30,7295.5
tested,2019-07-01,6094
tested,2019-07-02,8685.5
tested,2019-07-03,1535
tested,2019-07-04,3030
tested,2019-07-05,6845.5
tested,2019-07-06,12428
tested,2019-07-07,10766
tested,2019-07-08,8168
tested,2019-07-09,10194
tested,2019-07-10,10707
tested,2019-07-11,10693
tested,2019-07-12,8778.5
tested,2019-07-13,9294
tested,2019-07-14,12987
tested,2019-07-15,11960.5
tested,2019-07-16,10953
tested,2019-07-17,8175.5
tested,2019-07-18,9854
tested,2019-07-19,9357.5
tested,2019-07-20,6243.5
tested,2019-07-21,6850.5
tested,2019-07-22,8468
tested,2019-07-23,6564.5
tested,2019-07-24,7581
tested,2019-07-25,6592.5
tested,2019-07-26,5986
tested,2019-07-27,6159.5
tested,2019-07-28,7215
tested,2019-07-29,6363.5
tested,2019-07-30,9835
tested,2019-07-31,10987
tested,2019-08-01,10791.5
tested,2019-08-02,5510
tested,2019-08-03,7952.5
tested,2019-08-04,10917
tested,2019-08-05,11189.5
tested,2019-08-06,10292
tested,2019-08-07,11160.5
tested,2019-08-08,11019
tested,2019-08-09,8442.5
tested,2019-08-10,6590.5
tested,2019-08-11,9631
tested,2019-08-12,9837.5
tested,2019-08-13,8629
tested,2019-08-14,9397
tested,2019-08-15,6952.5
tested,2019-08-16,5551.5
tested,2019-08-17,8593
tested,2019-08-18,11499
tested,2019-08-19,10033
tested,2019-08-20,9947
tested,2019-08-21,11479
tested,2019-08-22,8138.5
tested,2019-08-23,10392
tested,2019-08-24,12173
tested,2019-08-25,8877.5
tested,2019-08-26,8196.5
tested,2019-08-27,8173
tested,2019-08-28,8726.5
tested,2019-08-29,8358.5
tested,2019-08-30,10276.5
tested,2019-08-31,12845.5
tested,2019-09-01,15478.5
tested,2019-09-02,9567
tested,2019-09-03,8129
tested,2019-09-04,9365
tested,2019-09-05,3997
tested,2019-09-06,6760
tested,2019-09-07,8610
tested,2019-09-08,8683.5
tested,2019-09-09,10864.5
tested,2019-09-10,10642
tested,2019-09-11,8054.5
tested,2019-09-12,5984
tested,2019-09-13,10413.5
tested,2019-09-14,11025
tested,2019-09-15,11883
tested,2019-09-16,11352
tested,2019-09-17,9571
