ngram,gterm,group,description,date,hits,keyword,geo,time,gprop,category
gym,gym,R,Incumbent resources,2018-09-30T00:00:00Z,62,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-10-07T00:00:00Z,66,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-10-14T00:00:00Z,61,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-10-21T00:00:00Z,60,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-10-28T00:00:00Z,61,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-11-04T00:00:00Z,64,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-11-11T00:00:00Z,68,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-11-18T00:00:00Z,75,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-11-25T00:00:00Z,72,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-12-02T00:00:00Z,73,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-12-09T00:00:00Z,69,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-12-16T00:00:00Z,70,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-12-23T00:00:00Z,79,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2018-12-30T00:00:00Z,100,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-01-06T00:00:00Z,89,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-01-13T00:00:00Z,87,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-01-20T00:00:00Z,84,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-01-27T00:00:00Z,78,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-02-03T00:00:00Z,75,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-02-10T00:00:00Z,76,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-02-17T00:00:00Z,81,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-02-24T00:00:00Z,73,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-03-03T00:00:00Z,73,gym,US,2018-01-01 2021-10-29,web,0
